CRICKET O -12.5117991265
- O -32.527198045
LEICESTERSHIRE I-ORG -62.7044942975
TAKE I-ORG -98.2275410402
OVER I-ORG -139.442158053
AT O -191.620991246
TOP I-ORG -250.727382386
AFTER O -324.334998296
INNINGS I-ORG -404.870172151
VICTORY I-ORG -490.751096497
. O -581.783777991

LONDON I-LOC -9.6280377091
1996-08-30 O -33.6845495999

West I-MISC -14.1520116233
Indian I-MISC -37.7148733146
all-rounder O -69.0264416021
Phil I-PER -115.691642658
Simmons I-PER -164.037434344
took O -223.647677018
four O -294.544753482
for O -372.587123852
38 O -464.062244008
on O -562.148517103
Friday O -670.337619097
as O -786.895776201
Leicestershire I-ORG -919.645577982
beat O -1062.20902697
Somerset I-ORG -1218.09235132
by O -1382.69352438
an O -1556.3265923
innings O -1741.33351631
and O -1932.49758288
39 O -2137.45696933
runs O -2354.16104956
in O -2576.74073502
two O -2808.47601204
days O -3051.60451048
to O -3300.61202276
take O -3560.90028173
over O -3830.70906645
at O -4108.25943905
the O -4390.59450351
head O -4685.13992533
of O -4985.46744405
the O -5290.57965463
county O -5609.83510838
championship O -5941.13864807
. O -6277.1989805

Their O -14.9857303148
stay O -43.4327429078
on O -78.4909084408
top O -125.451309042
, O -177.185652896
though O -242.715316615
, O -313.018923586
may O -395.401643388
be O -486.350864364
short-lived O -584.596698436
as O -691.211587617
title O -810.674264082
rivals O -944.739615334
Essex I-ORG -1094.25964567
, O -1249.15260896
Derbyshire I-ORG -1408.89900694
and O -1575.40153719
Surrey I-ORG -1754.44633523
all O -1944.69279776
closed O -2147.49756546
in O -2356.17793839
on O -2571.46946425
victory O -2798.23438189
while O -3036.07841236
Kent I-ORG -3290.2840125
made O -3555.97703162
up O -3831.39316677
for O -4113.95459583
lost O -4407.44627433
time O -4711.37070262
in O -5021.17073614
their O -5340.13881622
rain-affected O -5666.40350939
match O -6003.36398675
against O -6350.04449585
Nottinghamshire I-ORG -6712.91664963
. O -7081.14458586

After O -13.5117991265
bowling O -31.3265233051
Somerset I-ORG -65.6954622405
out O -110.081190322
for O -162.027274311
83 O -228.768678164
on O -302.121234957
the O -380.258483609
opening O -471.044210737
morning O -574.040295228
at O -684.7779676
Grace I-PER -802.08291762
Road I-PER -921.068458272
, O -1044.73764589
Leicestershire I-ORG -1183.5959721
extended O -1338.0710003
their O -1502.12913706
first O -1675.19003576
innings O -1859.62479056
by O -2052.17840437
94 O -2250.33575001
runs O -2460.23778944
before O -2680.52333514
being O -2911.98529087
bowled O -3158.72799329
out O -3414.88849515
for O -3678.19429092
296 O -3947.10381853
with O -4223.9017754
England I-LOC -4512.40104044
discard O -4805.06653065
Andy I-PER -5113.30780648
Caddick I-PER -5423.22967295
taking O -5745.02006173
three O -6077.31659732
for O -6416.75842683
83 O -6770.99557619
. O -7129.98951831

Trailing I-ORG -4.52991180101
by O -17.6222648362
213 O -36.7334117069
, O -60.618501831
Somerset I-ORG -101.057806712
got O -154.840795086
a O -215.093661742
solid O -279.468917862
start O -355.774423427
to O -437.958942834
their O -529.311508798
second O -630.511862047
innings O -743.086071392
before O -866.043787002
Simmons O -996.347968709
stepped O -1141.0849002
in O -1291.69743692
to O -1448.18898748
bundle O -1608.80292751
them O -1780.34711698
out O -1961.3091059
for O -2149.41638872
174 O -2343.12740337
. O -2541.59521078

Essex I-ORG -11.8968168046
, O -29.011159088
however O -60.6838065396
, O -97.1303972448
look O -147.372307814
certain O -211.894965074
to O -282.296636176
regain O -356.820696743
their O -440.512803869
top O -536.107146063
spot O -645.216700201
after O -763.049345876
Nasser I-PER -887.449269201
Hussain I-PER -1023.05306506
and O -1164.7237072
Peter I-PER -1318.43602432
Such I-PER -1473.82893208
gave O -1640.92686341
them O -1819.50956792
a O -2004.1470887
firm O -2201.86372231
